Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EngagementSurvey,EmpSatisfaction,DaysLateLast30,Absences,BurnRate,MentalFatigueScore,WFHAvailable,ResourceAllocation,SalaryPerLevel,PromotionStagnation,TotalSatisfaction,BurnoutPressureIndex,CareerVelocity,ManagerStability
-0.25477013,-0.22578837,-0.38303062,-0.0013249121,-0.4071404,-0.6185614,0.038803086,0.20244275,0.1530062,-0.0033100317,-0.81931263,-0.29794425,0.099092856,0.33645928,0.08246224,-0.44664606,-0.056045383,0.31347644,-0.37474713,-0.082934305,0.0143804215,-0.10751108,-0.8157186,-0.36034742,0.18493757,-0.20297934,-0.01799009,0.01932939,-0.09245653,-0.12816161,-0.1176233,0.0012404791,0.0,-0.13969374,0.022913765,0.013245964,-0.00027563912,0.04070038,-0.35620302,0.04773962,-0.10356004,-0.036340576,-0.03291874,-0.25798818
0.24111503,-0.22270218,0.06203615,0.0042045643,-0.3777031,0.05827932,-0.03725674,-0.28203827,-0.06574358,0.0005842539,-0.2839872,0.15457863,0.28236234,-0.8268759,0.03954217,0.14304912,-0.17088214,-0.6837266,-0.40972593,-0.1304313,0.018481541,-0.13210164,-0.92222106,0.09512018,0.09771159,-0.35191628,0.05468341,0.08459156,-0.07151979,0.22318634,-0.3936343,0.00039921975,0.0,-0.05972591,-0.028917884,0.0021533233,-0.0009190807,-0.021313718,-0.0051255357,-0.06598567,-0.2190124,-0.0299564,0.005445212,0.100756146
-0.09462804,-0.1860586,0.2454851,-0.012605492,-0.23898597,0.118338525,0.19220246,0.52312386,-0.06564705,0.13764302,-0.44050798,-0.25047925,0.14318523,-0.07687896,0.0500446,-0.2760561,-0.27462274,-0.02522892,-0.33592525,0.0016501052,0.015135634,-0.24874339,-0.52537245,-0.28765067,-0.22101998,-0.25373015,-0.06430769,-0.38319844,0.10416971,-0.60954714,0.281932,0.00039921975,0.0,-0.08466798,0.017986266,-0.0006648687,7.869676e-07,0.059128903,-0.23274906,0.13363846,-0.1447162,-0.007440504,-0.0062269364,-0.37503403
0.11521771,-0.28211433,0.04523322,-9.110465e-05,0.32582816,0.0029144948,-0.22754756,0.042260714,-0.107837185,-0.18876864,-0.38316175,0.21621913,-0.2324333,-0.16998464,0.12887157,0.22622551,-0.22840318,-0.2069145,-0.5589171,0.030662348,0.013457596,-0.015582627,0.59370214,0.0420443,0.26557738,-0.31480783,-0.16863233,-0.04063523,0.00889924,-0.095761135,0.13650891,0.00039921975,0.0,-0.11584968,-0.026113298,0.002265845,-0.0012861483,-0.031115936,-0.20804921,-0.29587573,-0.12613168,-0.08239781,0.0891094,-0.44453475
-0.33496964,0.5431463,-0.08174708,0.0025970377,0.0343301,-0.41847494,-0.19318871,-0.5186204,-0.07287174,-0.020625927,-0.15400267,-0.26117286,0.19712119,0.018021967,0.072724335,-0.43101,-0.25408384,-0.050456364,0.48382556,-0.084887736,0.009617728,0.11966773,-1.098244,-0.03218974,-0.16784537,-0.3482985,-0.082991324,-0.1878913,0.08859887,-0.15370981,-0.28130475,0.00039921975,0.0,-0.08690107,-0.006811394,-0.0034206572,-0.001241345,-0.06046132,0.08687168,0.27122965,-0.10152509,-0.05479096,-0.046670407,-0.06667612
0.33667156,-0.0966288,-0.21090241,-0.00025594165,-0.3959919,-0.20212832,-0.069605984,0.38006192,-0.05237574,0.012551278,1.1456584,0.22702274,-0.31486094,-0.92396456,0.24550883,-0.028048256,-0.03231757,0.6491431,0.8987481,0.016911265,0.009759982,-0.38315365,0.7137895,0.12660459,-0.10805983,0.51860845,0.054690246,0.012266753,-0.058475714,-0.20478044,-0.3990676,0.00039921975,0.0,0.043778993,-0.020606782,0.01814979,-0.0005604911,-0.017078519,0.09152094,0.3584651,-0.004261074,-0.022361679,0.20047772,-0.2452942
-0.29592365,-0.20544471,0.031486392,0.0021150014,-0.7934884,0.050562527,0.06724707,-0.12970483,-0.08104118,0.20756274,-0.43135577,0.20546436,-0.44947195,-1.1079322,0.13678509,-0.033526767,0.05014997,-0.16889821,-0.4890557,0.12066706,0.019457297,0.11740143,0.6653527,0.21022584,0.23944181,0.3373998,0.14316328,0.10451315,0.05184806,0.3351101,-0.47882366,0.00039921975,0.0,-0.06004272,-0.034685023,-0.0014632139,-0.0012066694,-0.019467065,0.021236261,-0.26268607,-0.07997076,-0.018396951,-0.1799778,0.3035104
-0.28898996,0.6798309,-0.11951112,0.004160477,0.35105085,0.12192661,0.16348857,-0.3492042,0.14054851,-0.0033578947,-0.20707957,-0.25432104,0.02299547,0.4292027,0.07651683,-0.40234894,0.14989665,0.21129034,-0.23139134,0.070016794,0.015271639,-0.072461024,-1.1237116,-0.24775352,0.28479275,-0.18030964,-0.08011489,-0.11163602,0.017540615,0.10516341,-0.47962996,0.0012404791,0.0,-0.74051315,0.027854417,-0.003728863,-0.002912068,0.073434755,-0.44990256,-0.27464607,-0.0635593,0.1046992,-0.15964575,0.12613943
-0.17689012,-0.3197626,-0.110573344,-0.0011650415,0.5137172,0.09113722,0.09360041,-0.6763514,0.16662845,-0.10424433,-0.12729195,-0.23164845,-0.19509341,0.49333927,0.027438538,-0.2630397,0.11145178,-0.102178715,-0.22022286,-0.013534151,0.015947938,-0.021068865,-1.0820847,0.082317814,0.18729101,-0.27353725,-0.12789711,-0.025245547,-0.08761145,-0.14277104,-0.06419142,0.0012404791,0.0,0.007128674,-0.040677007,-0.03181138,-0.0009190807,-0.08055151,0.13042584,0.0048185587,-0.04019991,-0.04769479,-0.018190572,-0.011200208
0.11652327,-0.18461609,-0.18753558,0.00059022184,0.078054346,0.07633688,0.21721144,-0.7941073,0.14734635,-0.20501764,0.09908805,-0.19354273,-0.14483929,-0.8767565,0.16636045,-0.2917644,-0.34685984,-0.15422198,0.7385412,0.1296822,0.011926065,-0.35013428,0.5893694,0.06266256,-0.20101754,-0.3483393,-0.09492777,-0.039012406,0.04651832,-0.0962075,-0.20364818,0.0012404791,0.0,-0.17258018,-0.05807088,-0.021976756,-0.0012861483,-0.056607667,0.10118353,0.33814153,-0.27880985,-0.06991152,-0.19069757,-0.04777947
